,userid,payorder,general_isgroup,paid,state,买手入驻申请,入驻,分享有奖,拼团详情,火球买手
325,5ad0b31c58f66b2e349a3576,0,,,,0.0,0.0,1.0,0.0,0.0
326,5ad0174bf716a547697a4ff6,0,,,,,,,,
327,5ad02dd22862a62f345bd48c,0,,,,,,,,
328,5ad0691bf4edea6f0457e67f,0,,,,,,,,
329,5ad08df1450fbc6efedc9e27,0,,,,,,,,
330,5ad0a3802dbd85702aac2693,0,,,,,,,,
331,5ad004431198a238574bba5f,0,,,,,,,,
332,5acfb94a5f081c394d9eefe3,0,,,,,,,,
333,5ad0a20058f66b2e34964546,0,,,,0.0,0.0,1.0,0.0,0.0
334,5ad0b1340a6fa92f889d815d,0,,,,,,,,
335,5ad03bf4b40344705715ec74,0,,,,,,,,
336,5ad0b8b02dbd85702ab13c77,1,,,,,,,,
337,5acf41479f140f327f32e249,0,,,,0.0,0.0,3.0,0.0,0.0
338,5ad02629699cc62e46fd978e,1,,,,,,,,
339,5ad09448699cc62e46159d1f,0,,,,,,,,
340,5ad0c34222defc47ea3f3e1f,0,,,,,,,,
341,5ad01734ecfb9e2e3a09be62,0,,,,,,,,
342,5ad026962e6b536f0f1dfd49,0,,,,,,,,
343,5ad045d258f66b2e348289c9,1,,,,,,,,
344,5ad078300a6fa92f88912123,0,,,,,,,,
345,5ad01741f4edea6f04452bcd,1,,,,,,,,
346,5ad0096059c9413993aa6005,1,,,,,,,,
347,5ad087992d0c2a2e3fdcdf89,0,,,,,,,,
348,5ad060debf06f46f097d1c34,0,,,,,,,,
349,5ad0ba46c077bc70098acde6,0,,,,,,,,
350,5ad05115699cc62e460757ec,0,,,,,,,,
351,5ad08bba699cc62e4613f339,1,,,,,,,,
352,5ad0b066699cc62e461be2b6,0,,,,,,,,
353,5ad0823a2e6b536f0f321c93,0,,,,,,,,
354,5ad04381c077bc700970b3f1,0,,,,,,,,
355,5ad04a6cecfb9e2e3a1551f6,0,,,,,,,,
356,5ad085d22862a62f346edcf9,0,,,,,,,,
357,5ad0d2fb897de54763a159ca,0,,,,,,,,
358,5ad07a015fabdf47f0134632,0,,,,,,,,
359,5ad07e55b31aaa7021bc29b9,0,,,,,,,,
360,5ad06a94f4edea6f04583d00,0,,,,,,,,
361,5ad029592862a62f345ac294,0,,,,,,,,
362,5ad04b1c2e6b536f0f266120,1,,,,,,,,
363,5ad0874f6b4d03488ade73ef,0,,,,,,,,
364,5ad029066b4d03488ac93651,0,,,,,,,,
365,5acffa276077d1151e992f33,0,,,,0.0,0.0,0.0,0.0,1.0
366,5ad055062e6b536f0f288781,0,,,,,,,,
367,5ad0a21964fc0b48485d917e,0,,,,,,,,
368,5ad080782e6b536f0f31bb91,0,,,,,,,,
369,5ad086ee22defc47ea3129db,0,,,,,,,,
370,5ad02326897de54763794924,1,,,,0.0,0.0,1.0,0.0,0.0
371,5acfece5c65e2e166304d571,0,,,,,,,,
372,5ad069531f0ca62f3b1491a9,0,,,,,,,,
373,5acffb0612973415172dcc90,0,,,,,,,,
374,5ad08b12ecfb9e2e3a230b49,0,,,,,,,,
375,5ad0a208699cc62e46189fec,1,,,,,,,,
376,5ad0080f9cf6793863604611,0,,,,,,,,
377,5a96a2c2cd09736f4abe773c,0,,,,,,,,
378,5acf9b393e75236a018fe16b,0,,,,,,,,
379,5ad04648699cc62e4604ee00,0,,,,,,,,
380,5ad009b2243cbe6a8dd4cc13,0,,,,,,,,
381,5ad07f1d450fbc6efed98b39,0,,,,,,,,
382,5ad07f7f6b4d03488adcc54c,0,,,,16.0,1.0,0.0,0.0,0.0
383,5ad0a9fab31aaa7021c5db3d,0,,,,,,,,
384,5ad0d17bb31aaa7021d020be,0,,,,,,,,
385,5928248e153bc80f88d08672,0,,,,,,,,
386,5ad07d64d0d3372f5363c7b4,0,,,,,,,,
387,5ad01c9c2dbd85702a8ea119,0,,,,,,,,
388,5ad01b2b64fc0b48483fabbd,0,,,,,,,,
389,5ad091c80a6fa92f88968ea9,1,,,,,,,,
390,5ad01b8758f66b2e34788462,0,,,,,,,,
391,5ad073e22862a62f346af381,0,,,,,,,,
392,5ad019e4b31aaa7021a55a5a,0,,,,,,,,
393,5ad097f122defc47ea34cdaa,0,,,,,,,,
394,5ad041b9b54aae483e448e3c,0,,,,,,,,
395,5ad053e52dbd85702a9b49f7,0,,,,0.0,0.0,1.0,0.0,0.0
396,5ad00bcc1198a238574d58a4,0,,,,,,,,
397,5ad03c6022defc47ea212f10,0,,,,,,,,
398,5ad0454b2d0c2a2e3fce8473,0,,,,,,,,
399,5ad0017cb96dcb3959f27e96,0,,,,,,,,
400,5ad04eaeb54aae483e47656f,1,,,,,,,,
401,5ad04519f716a5476984fbe1,0,,,,,,,,
402,5ad06ba6d0d3372f535ff5c4,0,,,,,,,,
403,5ad04a0ec077bc7009723684,0,,,,,,,,
404,5ad0336e22defc47ea1f1600,0,,,,,,,,
405,5ad069065fabdf47f00f8470,0,,,,,,,,
406,5acfaa973dd6406a87f60150,0,,,,,,,,
407,5ad0c228699cc62e46202c42,0,,,,,,,,
408,5ad00e4dc65e2e16630beac6,1,,,,,,,,
409,5ad0d29fb54aae483e659651,0,,,,,,,,
410,5acf9fdc8e3ce21657197111,0,,,,,,,,
411,5ad053a75fabdf47f00ad2fd,0,,,,,,,,
412,5ad06cccb31aaa7021b84984,0,,,,,,,,
413,5ad0845bf716a5476992c0fc,0,,,,,,,,
414,5ad040c858f66b2e34817be6,0,,,,,,,,
415,5ad04f05450fbc6efecf667f,1,,,,,,,,
416,5a9675a217c37e18e3e275ed,0,,,,0.0,1.0,0.0,0.0,0.0
417,5ad0917c6b4d03488ae08d5c,0,,,,,,,,
418,5acf8e05606d0c6b2d094391,0,,,,,,,,
419,5acfe41559c9413993a33b40,0,,,,,,,,
420,5ad0b942b40344705731784a,0,,,,,,,,
421,5ad08995b40344705726c157,0,,,,,,,,
422,5ad016daf4edea6f044514d4,1,,,,,,,,
423,5ad01ca4897de5476377c3c4,0,,,,,,,,
424,5a0ffb16c159c52be28b9d81,0,,,,,,,,
425,5a0674ba6a0b410973810508,0,,,,,,,,
426,5acf85bd3e75236a018d9d78,0,,,,,,,,
427,5ad0b0fd58f66b2e3499b16b,0,,,,,,,,
428,5ad0befa64fc0b4848649e86,0,,,,,,,,
429,5acf835c3b855b6ae1dc5fca,0,,,,,,,,
430,5ad05f802d0c2a2e3fd428be,0,,,,,,,,
431,5ad03bf6f716a5476983028a,0,,,,,,,,
432,5ad07c356b4d03488adc0655,0,,,,,,,,
433,5aabce351c052a7b47437eae,0,,,,,,,,
434,5ad0723ce1eefe48960493e0,0,,,,,,,,
435,5acf83008471893981ab0a30,0,,,,,,,,
436,5ad0b2912e6b536f0f3cc83c,0,,,,,,,,
437,5ad0727ef4edea6f0459e4da,0,,,,,,,,
438,5ad0750fbf06f46f09816e64,0,,,,,,,,
439,5ad09fcf2e6b536f0f3855a6,0,,,,,,,,
440,5ad0218cc077bc700968a023,0,,,,,,,,
441,5ad06a08bf06f46f097ef53d,0,,,,,,,,
442,5ad044cd0a6fa92f8885f027,0,,,,,,,,
443,5ad05f4e2dbd85702a9db41b,0,,,,,,,,
444,5ad06f7cc077bc70097a305e,1,,,,,,,,
445,5acff91f12973415172d65ea,0,,,,,,,,
446,5ad0d240f4edea6f047072ba,0,,,,,,,,
447,5acffc545f081c394da442b9,0,,,,,,,,
448,5ad060c7e1eefe489600c1b1,0,,,,,,,,
449,5ad01f252e6b536f0f1c5263,0,,,,,,,,
450,5ad0a2641f0ca62f3b20e858,0,,,,,,,,
451,5ad0ba5b6b4d03488ae9ba34,0,,,,,,,,
452,5a72ef6a9597445e83317024,0,,,,,,,,
453,5ad0c95122defc47ea410748,0,,,,,,,,
454,5ad0c25df4edea6f046c63f1,0,,,,,,,,
455,5ad029171f0ca62f3b065307,0,,,,,,,,
456,5acf9ffb0d39e8150ca710d2,0,,,,,,,,
