,userid,y
579,5acf85039cf679386354cf2e,0
580,5ad86a600b5c27551ceb6349,1
581,5ad6035cb05c0a0ee6f422bd,0
582,5ad69fb35913f001e87006e2,0
583,5ad385b0897de5476315aa8b,1
584,5ad965d6e9b0c05516229090,0
585,5ad5ad894e6c716a97582174,0
586,5ad83c2ba91bfc548909de13,0
587,5ad1ece622defc47ea6eef45,0
588,5ad72e90cf40ed50729c22e1,1
589,5ad574ba98878c2de630ab35,0
590,5ad7661b3a91225186896534,1
591,5acfdfbb5f081c394d9fcf9e,0
592,5ad5ecd2b05c0a0ee6ee141b,0
593,5ad551a25adedb377d77e688,0
594,5ad9e2d972ad682de7b975b9,1
595,5ad16abdb31aaa7021df9b9d,0
596,5ad6e6b19b89de032c43adfa,0
597,5ad5fe7d65962201ed1e170e,1
598,5ad75113f7f7693f1cfee056,1
599,5ad60a530393d70e9c5e67ae,1
600,5ad9e672d5b3a956165e25ed,0
601,5ad9e726d5b3a956165e559c,0
602,5ad41cef2862a62f3407a3ee,0
603,5ad602395913f001e85a1615,1
604,5ad6db7ae7772c02c2742829,1
605,5ad61fd25d3fa40d7583f19d,1
606,5ad60cab2df6e90d873f3510,0
607,5ad963b372ad682de79b2aa4,0
608,5ad0a1e9450fbc6efee0bc9e,0
609,5ad91029ea15f22e1d355950,0
610,5ad6180fe997750d7b145078,0
611,5ad010ba7b9a58385d15a5b4,1
612,5ad28a9e0a6fa92f88e54922,0
613,5ad369dcf4edea6f04df4948,0
614,5ad8b35699833e56053522dd,0
615,5ad16b2b450fbc6efefc754e,1
616,5ad88dbaeaff502dc3cee748,0
617,5ad9d6e6e9b0c055163d8069,1
618,5ada06d199cd782e23fc0aaa,0
619,5ad23512b54aae483ea0f272,0
620,5ad36465699cc62e469003ea,0
621,5ad9aa210b5c27551c261e86,0
622,5ad35def22defc47eaaee693,0
623,5ad72c8bd31cef1c6d680169,0
624,5ad0cb102862a62f347f3c10,1
625,5ad14b36699cc62e462d0a64,0
626,5ad786e404f3613e488a2b01,1
627,5ad9f41d19276a2cf4c9e063,1
628,5ad36e170a6fa92f881679b5,0
